headline,content
"Europe backs digital TV lifestyle
","
How people receive their digital entertainment in the future could change, following the launch of an ambitious European project.

In Nice last week, the European Commission announced its Networked & Electronic Media (NEM) initiative. Its broad scope stretches from the way media is created, through each of the stages of its distribution, to its playback. The Commission wants people to be able to locate the content they desire and have it delivered seamlessly, when on the move, at home or at work, no matter who supplies the devices, network, content, or content protection scheme. More than 120 experts were in Nice to share the vision of interconnected future and hear pledges of support from companies such as Nokia, Intel, Philips, Alcatel, France Telecom, Thomson and Telefonica. It might initially appear to be surprising that companies in direct competition are keen to work together. But again and again, speakers stated they could not see incompatible, stand-alone solutions working. A long-term strategy for the evolution and convergence of technologies and services would be required.

The European Commission is being pragmatic in its approach. They have identified that many groups have defined the forms of digital media in the areas that NEM encompasses. The NEM approach is to take a serious look at what is available and what is in the pipeline, pick out the best, bring them together and identify where the gaps are. Where it finds holes, it will develop standards to fill them. What is significant is that such a large and powerful organisation has stated its desire for digital formats to be open to all and work on any gadget. This is bound to please, if not surprise, many individuals and user organisations who feel that the wishes of the holder of rights to content are normally considered over and above those of the consumer. Many feel that the most difficult and challenging area for the Commission will be to identify a solution for different Digital Rights Management (DRM) schemes. Currently DRM solutions are incompatible, locking certain types of purchased content, making them unplayable on all platforms. With the potential of having a percentage of every media transaction that takes place globally, the prize for being the supplier of the world's dominant DRM scheme is huge. Although entertainment is an obvious first step, it will encompass the remote provisions of healthcare, energy efficiency and control of the smart home. The 10-year plan brings together the work of many currently running research projects that the EC has been funding for a number of years.

Simon Perry is the editor of the Digital Lifestyles website, which covers the impact of technology on media
"
"2D Metal Slug offers retro fun
","
Like some drill sergeant from the past, Metal Slug 3 is a wake-up call to today's gamers molly-coddled with slick visuals and fancy trimmings.

With its hand-animated sprites and 2D side-scrolling, this was even considered retro when released in arcades four years ago. But a more frantic shooter you will not find at the end of your joypad this year. And yes, that includes Halo 2. Simply choose your grunt and wade through five 2D side-scrolling levels of the most hectic video game blasting you will ever encounter. It is also the toughest game you are likely to play, as hordes of enemies and few lives pile the pressure on.

Players must battle soldiers, snowmen, zombies, giant crabs and aliens, not to mention the huge, screen-filling bosses that guard each of the five levels.

The shoot-anything-that-moves gameplay is peppered with moments of old-school genius. Fans of robotic gastropods should note the title refers, instead, to the vast array of vehicles on offer in a game stuffed with bizarre hardware. Tanks, jets and submarines can be commandeered, as well as cannon-toting camels, elephants and ostriches - more weaponry on offer than in an acre of Iraq. Doling out justice is a joy thanks to ultra responsive controls, and while this is a tough nut to crack, it is addictive enough to have you gagging for that one last go. And at a mere £20, Metal Slug 3 is as cheap as sliced, fried spuds, as the man says. Of course, most of you will ignore this, lacking as it does the visual fireworks of modern blasters. But at a time when blockbuster titles offer only a fresh lick of paint in favour of real innovation, Metal Slug 3 is a fresh gasp of air from an era when the Xbox was not even a twinkle in Bill Gates' eye.
"
"Swap offer for pirated Windows XP
","
Computer giant Microsoft has launched a pilot scheme to replace counterfeit versions of Windows XP with legal ones.

The first-time initiative is restricted to the UK and to users with pre-installed copies of the operating system in PCs bought before November. Until December Microsoft said software can be sent to it for analysis if there are doubts about its legitimacy. The company aims to detect illegal traders and turn users of fake versions of Windows into legitimate ones.

The Windows XP Counterfeit Project will mean that software that is found to be counterfeit will be replaced for free, subject to certain conditions, until the end of the year. It is the first time Microsoft has launched a counterfeit product replacement scheme in the world, the company told the BBC News website. In June, the software giant said that the major security update to Windows XP, Service Pack 2, would not work with the most widely pirated versions of its operating system. The upgrade closed security loopholes in XP and added features that made it easier to keep machines safe from viruses and other types of malicious computer code.

The US company invited anyone who had suspicions about their version of Windows XP to submit it for testing as soon as possible. The procedure consists of a series of computer checks, collating documents, and filling out a witness statement. ""This is a great opportunity for users to confirm the authenticity of Windows XP software whilst helping gather vital information about illegal traders"", said Alex Hilton, licence compliance manager at Microsoft. The scheme has also been welcomed by the technology and commerce industry. ""It is important that users ensure that they are legally licensed to avoid the risks of purchasing and using counterfeit products"", said David Frost, director general of the British Chambers of Commerce. The plan would enable Microsoft to gather intelligence about illegal traders in a prompt way, which would allow it to take action against software pirates. Microsoft said it would evaluate the results of the UK programme before setting up similar schemes in other countries.
"
"Computer grid to help the world
","
Your computer can now help solve the world's most difficult health and social problems.

Launched this week, the World Community Grid will use idle computer time to test solutions to these problems. The donated processor cycles will help the WCG create virtual supercomputers via the net. The idea follows the success of other similar projects that have used the untapped processing power of millions of desktop PCs. One of the most successful collaboration projects was Seti@home, run by the Search for Extra Terrestrial Life project, which sorted through radio signals looking for signs of alien communication.

Anyone can volunteer to donate the spare time of their computers by downloading a special screensaver from the WGC website. Once installed, the virtual terminal gets a chunk of the computational task to process, and reports back after completing that task. The first WCG problem being tackled will be the Human Proteome Folding Project, which hopes to identify the ways that the proteins in our body fold.

The subjects of study are being selected by an international advisory board of experts specializing in health sciences, and technology. The body will evaluate proposals from leading research, public and not-for-profit organizations, and is expected to oversee up to six projects a year. Organisations also represented on the board include the United Nations Development Programme and the World Health Organisation.

""The World Community Grid will enable researchers around the globe to gather and analyze unprecedented quantities of data to help address important global issues,"" said Elain Gallin, program director for medical research at the Doris Duke Charitable Foundation. ""[It] will inspire us to look beyond the technological limitations that have historically restricted us from addressing some of our most intractable problems"", she added. IBM has donated the hardware, software, technical services and expertise to build the basic infrastructure for the grid. The computer company, working with United Devices, previously developed the Smallpox Research Grid, which linked together more than two million volunteers from 226 countries to speed the analysis of some 35 million drug molecules in the search for a treatment for Smallpox.
"
"How to smash a home computer
","
An executive who froze his broken hard disk thinking it would be fixed has topped a list of the weirdest computer mishaps.

Although computer malfunctions remain the most common cause of file loss, data recovery experts say human behaviour still is to blame in many cases. They say that no matter how effective technology is at rescuing files, users should take more time to back-up and protect important files. The list of the top 10 global data disasters was compiled by recovery company Ontrack.

Careless - and preventable - mistakes that result in data loss range from reckless file maintenance practices to episodes of pure rage towards a computer. This last category includes the case of a man who became so mad with his malfunctioning laptop that he threw it in the lavatory and flushed a couple of times. ""Data can disappear as a result of natural disaster, system fault or computer virus, but human error, including 'computer rage', seems to be a growing problem,"" said Adrian Palmer, managing director of Ontrack Data Recovery.

""Nevertheless, victims soon calm down when they realise the damage they've done and come to us with pleas for help to retrieve their valuable information."" A far more common situation is when a computer virus strikes and leads to precious files being corrupted or deleted entirely. Mr Palmer recalled the case of a couple who had hundreds of pictures of their baby's first three months on their computer, but managed to reformat the hard drive and erase all the precious memories. ""Data can be recovered from computers, servers and even memory cards used in digital devices in most cases,"" said Mr Palmer. ""However, individuals and companies can avoid the hassle and stress this can cause by backing up data on a regular basis.""
"
"TV future in the hands of viewers
","
With home theatre systems, plasma high-definition TVs, and digital video recorders moving into the living room, the way people watch TV will be radically different in five years' time.

That is according to an expert panel which gathered at the annual Consumer Electronics Show in Las Vegas to discuss how these new technologies will impact one of our favourite pastimes. With the US leading the trend, programmes and other content will be delivered to viewers via home networks, through cable, satellite, telecoms companies, and broadband service providers to front rooms and portable devices.

One of the most talked-about technologies of CES has been digital and personal video recorders (DVR and PVR). These set-top boxes, like the US's TiVo and the UK's Sky+ system, allow people to record, store, play, pause and forward wind TV programmes when they want.

Essentially, the technology allows for much more personalised TV. They are also being built-in to high-definition TV sets, which are big business in Japan and the US, but slower to take off in Europe because of the lack of high-definition programming. Not only can people forward wind through adverts, they can also forget about abiding by network and channel schedules, putting together their own a-la-carte entertainment. But some US networks and cable and satellite companies are worried about what it means for them in terms of advertising revenues as well as ""brand identity"" and viewer loyalty to channels. Although the US leads in this technology at the moment, it is also a concern that is being raised in Europe, particularly with the growing uptake of services like Sky+. ""What happens here today, we will see in nine months to a years' time in the UK,"" Adam Hume, the BBC Broadcast's futurologist told the BBC News website. For the likes of the BBC, there are no issues of lost advertising revenue yet. It is a more pressing issue at the moment for commercial UK broadcasters, but brand loyalty is important for everyone. ""We will be talking more about content brands rather than network brands,"" said Tim Hanlon, from brand communications firm Starcom MediaVest. ""The reality is that with broadband connections, anybody can be the producer of content."" He added: ""The challenge now is that it is hard to promote a programme with so much choice.""

What this means, said Stacey Jolna, senior vice president of TV Guide TV group, is that the way people find the content they want to watch has to be simplified for TV viewers. It means that networks, in US terms, or channels could take a leaf out of Google's book and be the search engine of the future, instead of the scheduler to help people find what they want to watch. This kind of channel model might work for the younger iPod generation which is used to taking control of their gadgets and what they play on them. But it might not suit everyone, the panel recognised. Older generations are more comfortable with familiar schedules and channel brands because they know what they are getting. They perhaps do not want so much of the choice put into their hands, Mr Hanlon suggested. ""On the other end, you have the kids just out of diapers who are pushing buttons already - everything is possible and available to them,"" said Mr Hanlon. ""Ultimately, the consumer will tell the market they want.""

Of the 50,000 new gadgets and technologies being showcased at CES, many of them are about enhancing the TV-watching experience. High-definition TV sets are everywhere and many new models of LCD (Liquid Crystal Display) TVs have been launched with DVR capability built into them, instead of being external boxes. One such example launched at the show is Humax's 26-inch LCD TV with an 80-hour TiVo DVR and DVD recorder. One of the US's biggest satellite TV companies, DirectTV, has even launched its own branded DVR at the show with 100-hours of recording capability, instant replay, and a search function. The set can pause and rewind TV for up to 90 hours. And Microsoft chief Bill Gates announced in his pre-show keynote speech a partnership with TiVo, called TiVoToGo, which means people can play recorded programmes on Windows PCs and mobile devices. All these reflect the increasing trend of freeing up multimedia so that people can watch what they want, when they want.
"
"Media gadgets get moving
","
Pocket-sized devices that let people carry around video and images are set to have a big year in 2005, according to industry experts.

Last year saw the emergence of portable media players, such as the Windows-based Creative Zen portable media player, the Samsung Yepp, the iRiver PMC-100, and the Archos AV400 series among others. But this year, they are set to get smarter and more connected, to allow people to find more video to watch on them. Archos launched its latest range of its Linux-based portable media devices at the Consumer Electronics Show in Las Vegas on Friday. Dubbed the Pocket Media Assistant PMA430, it crucially has wi-fi capability built-in for the first time. ""Consumers are showing a great thirst for devices that store all their media in one place for anywhere access,"" said Henri Crohas, chief of Archos. ""And now those consumers can stay connected and productive at the same time."" Archos said the focus for the device is to be the second gadget in people's pockets, after the mobile.

Unlike Windows-based players, the Archos AV400 series devices have always been able to record from any video source, such as TVs, as well as playback. The content put onto the devices is copy protected so cannot then be swapped to another device.

Recording is perhaps a crucial functionality for those who have not seen the point of portable video if there is not a lot of video to watch on it. And wi-fi connectivity opens up the possibility of content delivery via a high-speed wireless link. Archos also announced that it would open up the software development kit to Linux developers so that more applications could be created for the device. Microsoft also made some announcements in the portable media arena at CES, primarily for US consumers though. It has agreed a content deal with personal video recorder company TiVo, which Bill Gates also showcased in his keynote speech at CES. The TiVo To Go service means that US consumers will be able to take any programmes they record on their TiVos and transfer it for free to watch on any of the Windows-based portable media players or smartphones. It also said it had launched a service with MTV to let people watch Comedy Central, VH1 and Country Music TV on its devices. And a service is launching with MSN to provide people with shortened versions of news, entertainment and other video on a subscription basis for download via the PC onto the portable devices. But the ability to record directly from TV, VCR, and digital cable and satellite boxes, which Windows-based devices do not offer, certainly gives people more content to watch on the go too.

The increased capability of these devices, and the content deals that are being done, may go some way to persuading people to use them. Recent research by Jupiter suggested that people would prefer a device that was dedicated to music. Only 13% of Europeans wanted to watch video while on the move. More seemed interested in spending their cash on music-only devices.

""This year, we are ready for an explosion of portable media,"" Microsoft's Mike Coleman told the BBC News website. ""We are very bullish about it. The fact that I can put photos on here too and share them is super-cool to the consumer,"" he added. The fact that Europeans are far larger public transport users than Americans is one reason why portable media will take off in the coming year too. There is a burgeoning market there for commuters to watch news and other programmes on their way to work. Although Microsoft's content distribution deals are for the US market at the moment, talks were ""always on-going"" with European content suppliers to offer similar services. Various rights management issues have to be ironed out first however. But that does not prevent people from finding ways to create their own content to share online and swap on portable devices, particularly via those which are wi-fi enabled. The possibility is open for non-professional makers of video and audio to take advantage of the growing portable media market to distribute their work. CES, which runs from 6 to 9 January, showcases more than 50,000 new gadgets that will be hitting the shelves in 2005.
"
"Disney backs Sony DVD technology
","
A next generation DVD technology backed by Sony has received a major boost.

Film giant Disney says it will produce its future DVDs using Sony's Blu-ray Disc technology, but has not ruled out a rival format developed by Toshiba. The two competing DVD formats, Blu-ray developed by Sony and others, and Toshiba's HD-DVD, have been courting top film studios for several months. The next generation of DVDs promises very high quality pictures and sound, as well as a lot of data. Both technologies use a blue laser to write information. It has a shorter wavelength so more data can be stored. Disney is the latest studio to announce which technology it is backing in a format battle which mirrors the 1980s Betamax versus VHS war. Sony lost out to JVC in that fight.

The current battle for Hollywood's hearts and minds is a crucial one because high-definition films will bring in billions of revenue and the studios would prefer to use one standard. Last month, Paramount, Universal and Warner Brothers said they were opting for the Toshiba and NEC-backed format, HD-DVD high-definition discs.

Those studios currently produce about 45% of DVD content. Sony Pictures Entertainment and MGM Studios have already staked their allegiance with the Blu-ray Disc Association, whose members also include technology companies Dell, Samsung and Matsushita. Twentieth Century Fox is still to announce which technology it will be supporting. If Fox decided to go with Blu-ray too, it would mean the format would have a 47% share of DVD content. Disney said its films would be available on the Blu-ray format when DVD players for the standard went on sale on North America and Japan, expected in 2006. Universal is to start producing films on the HD-DVD format in 2005, and Paramount will start releasing titles using the standard in 2006. Toshiba expects sales of HD-DVDs to reach 300bn yen ($2.9bn, £1.5bn) by 2010.
"
"2D Metal Slug offers retro fun
","
Like some drill sergeant from the past, Metal Slug 3 is a wake-up call to today's gamers molly-coddled with slick visuals and fancy trimmings.

With its hand-animated sprites and 2D side-scrolling, this was even considered retro when released in arcades four years ago. But a more frantic shooter you will not find at the end of your joypad this year. And yes, that includes Halo 2. Simply choose your grunt and wade through five 2D side-scrolling levels of the most hectic video game blasting you will ever encounter. It is also the toughest game you are likely to play, as hordes of enemies and few lives pile the pressure on.

Players must battle soldiers, snowmen, zombies, giant crabs and aliens, not to mention the huge, screen-filling bosses that guard each of the five levels.

The shoot-anything-that-moves gameplay is peppered with moments of old-school genius. Fans of robotic gastropods should note the title refers, instead, to the vast array of vehicles on offer in a game stuffed with bizarre hardware. Tanks, jets and submarines can be commandeered, as well as cannon-toting camels, elephants and ostriches - more weaponry on offer than in an acre of Iraq. Doling out justice is a joy thanks to ultra responsive controls, and while this is a tough nut to crack, it is addictive enough to have you gagging for that one last go. And at a mere £20, Metal Slug 3 is as cheap as sliced, fried spuds, as the man says. Of course, most of you will ignore this, lacking as it does the visual fireworks of modern blasters. But at a time when blockbuster titles offer only a fresh lick of paint in favour of real innovation, Metal Slug 3 is a fresh gasp of air from an era when the Xbox was not even a twinkle in Bill Gates' eye.
"
"Hollywood to sue net film pirates
","
The US movie industry has launched legal action to sue people who facilitate illegal film downloading.

The Motion Picture Association of America wants to stop people using the program BitTorrent to swap movies. The industry is targeting people who run websites which provide information and internet links to movies which have been copied or filmed in cinemas. More than 100 server operators have been targeted in the actions launched in the US and UK, the MPAA added. The suits were filed against users of the file-sharing programs BitTorrent, eDonkey and DirectConnect in the United States, United Kingdom, France, Finland and the Netherlands, the MPAA said.

BitTorrent users can download movies by following a link to files which are found on websites called trackers. Unlike most peer-to-peer programs BitTorrent works by sharing a file, which could be anything from a legitimate digital photo to a copied movie, among multiple users at the same time. The movie industry hopes that suing the people who run the trackers will cut BitTorrent users off from illegal movies at source. Last month major film studios started legal action against 200 individuals who were swapping films online. The growth in broadband has made it quicker for people to download movies and the industry fears that if it does not take action now, it could suffer the same downturn as the music industry.
"
"PC ownership to 'double by 2010'
","
The number of personal computers worldwide is expected to double by 2010 to 1.3 billion machines, according to a report by analysts Forrester Research.

The growth will be driven by emerging markets such as China, Russia and India, the report predicted. More than a third of all new PCs will be in these markets, with China adding 178 million new PCs by 2010, it said. Low-priced computers made by local companies are expected to dominate in such territories, Forrester said. The report comes less than a week after IBM, a pioneer of the PC business, sold its PC hardware division to China's number one computer maker Lenovo.

The $1.75bn (£900m) deal will make the combined operation the third biggest PC vendor in the world. ""Today's products from Western PC vendors won't dominate in those markets in the long term,"" Simon Yates, a senior analyst for Forrester, said. ""Instead local PC makers like Lenovo Group in China and Aquarius in Russia that can better tailor the PC form factor, price point and applications to their local markets will ultimately win the market share battle,"" he said. There are currently 575 million PCs in use globally. The United States, Europe and Asia-Pacific are expected to add 150 million new PCs by 2010, according to the study. The report forecast that there will be 80 million new PC users in India by 2010 and 40 million new users in Indonesia.
"
"The gaming world in 2005
","
If you have finished Doom 3, Half Life 2 and Halo 2, don't worry. There's a host of gaming gems set for release in 2005.

 WORLD OF WARCRAFT 

The US reception to this game from developers Blizzard has been hugely enthusiastic, with the title topping its competitors in the area of life-eating, high-fantasy, massively multiplayer role-player gaming. Solid, diverse, accessible and visually striking, it may well open up the genre like never before. If nothing else, it will develop a vast and loyal community. Released 25 February on PC. ICO 2 (WORKING TITLE) Ico remains a benchmark for PS2 gaming, a title that took players into a uniquely atmospheric and artistic world of adventure. The (spiritual) sequel has visuals that echo those of the original, but promises to expand the Ico world, with hero Wanda taking on a series of giants. The other known working title is Wanda And Colossus. Release date to be confirmed on PS2. THE LEGEND OF ZELDA 

The charismatic cel imagery has been scrapped in favour of a dark, detailed aesthetic (realism isn't quite the right word) that connects more with Ocarina Of Time. Link resumes his more teenage incarnation too, though enemies, elements and moves look familiar from the impressive trailer that has been released. Horseback adventuring across a vast land is promised. Release date to be confirmed on GameCube. ADVANCE WARS DS The UK Nintendo DS launch line-up is still to be confirmed at time of writing, but titles that exploit its two-screen and touch capacity, like WarioWare Touched! and Sega's Feel The Magic, are making a strong impression in other territories. Personally, I can't wait for the latest Advance Wars, the franchise that has been the icing on the cake of Nintendo handheld gaming during the past few years. Release date to be confirmed on DS. S.T.A.L.K.E.R. 

Following in the high-spec footsteps of Far Cry and Half-Life 2, this looks like the key upcoming PC first-person shooter (with role-playing elements). The fact that it is inspired in part by Andrei Tarkovsky's enigmatic 1979 masterpiece Stalker and set in 2012 in the disaster zone, a world of decay and mutation, makes it all the more intriguing. Released 1 March on PC. METAL GEAR SOLID: SNAKE EATER 

More Hideo Kojima serious stealth, featuring action in the Soviet-controlled jungle in 1964. The game see Snake having to survive on his wits in the jungle, including eating wildlife. Once again, expect cinematic cut scenes and polished production values. Released March on PS2. DEAD OR ALIVE ULTIMATE Tecmo's Team Ninja are back with retooled and revamped versions of Dead Or Alive 1 and 2. Here's the big, big deal though - they're playable over Xbox Live. Released 11 March on Xbox. KNIGHTS OF THE OLD REPUBLIC II Looks set to build on the acclaimed original Star Wars role playing game with new characters, new Force powers and a new set of moral decisions, despite a different developer. Released 11 February on Xbox and PC.
"
"Video phone help for deaf people
","
Deaf people who prefer to communicate using British Sign Language (BSL) could soon be having their phone conversations relayed using webcams or videophones and an interpreter.

The Video Relay Service is being piloted by the Royal National Institute for Deaf People (RNID), but the organisation says unless the service is provided at the same rate as voice calls it will be beyond most people's pockets. The RNID is urging telecoms regulator, Ofcom, to reduce the cost of the service from the current £7.00 per minute and make it the same as ordinary phone calls. The service works by putting a deaf person in visual contact with a BSL interpreter via a webcam or video phone, and the interpreter then relays the deaf person's conversation using a telephone and translates the other person's response into sign language.

For many deaf people, especially those born deaf, BSL is a first and preferred means of communication.

Until now, the only alternative has been to use textphones which means having to type a message and have it relayed via an operator. ""In the past, I've used textphones but they have problems,"" said Robert Currington who is taking part in the pilot. ""I communicate in BSL; my written English is not very good and it takes me longer to think in English and type my message."" ""I sometimes find it difficult to understand the reply."" The RNID says the UK is lagging behind other countries which are already making relay services available at the cost of an ordinary phone call. ""There are no technical or economic reasons for not providing equivalent access to services for deaf people,"" said RNID technology director, Guido Gybels. ""In the US and Australia, sign language relay services have already been made universally available at the same cost as a voice call. ""By failing to provide and fund the video relay service for sign language users, the telecommunications sector is effectively discriminating against an already disenfranchised group.""

Ofcom says it has plans to review the services that telecoms companies are obliged to provide early next year. And new technology, including the Video Relay Service, will be discussed with interested parties in the near future. But a spokesman said its powers were limited by legislation. ""Any proposals to extend existing arrangements to cover new services would be for government to consider,"" he said. Mr Currington, like many of the UK's 70,000 BSL users, will be hoping that a way can be found to make a cost-effective service available. ""The relay service makes phone conversations a pleasure,"" he said. ""I can show my emotions more easily in BSL in the same way hearing people express emotions through voice calls.""
"
"Santy worm makes unwelcome visit
","
Thousands of website bulletin boards have been defaced by a virus that used Google to spread across the net.

The Santy worm first appeared on 20 December and within 24 hours had successfully hit more than 40,000 websites. The malicious program exploits a vulnerability in the widely used phpBB software. Santy's spread has now been stopped after Google began blocking infected sites searching for new victims.

The worm replaces chat forums with a webpage announcing that the site had been defaced by the malicious program. Soon after being infected, sites hit by the worm started randomly searching for other websites running the vulnerable phpBB software. Once Google started blocking these search queries the rate of infection tailed off sharply. A message sent to Finnish security firm F-Secure by Google's security team said: ""While a seven hour response for something like this is not outrageous, we think we can and should do better."" ""We will be reviewing our procedures to improve our response time in the future to similar problems,"" the Google team said. Security firms estimate that about 1m websites run their discussion groups and forums with the open source phpBB program. The worst of the attack now seems to be over as a search conducted on the morning of the 22 December produced only 1,440 hits for sites showing the text used in the defacement message. People using the sites hit by Santy will not be affected by the worm. Santy is not the first malicious program to use Google to help it spread. In July a variant of the MyDoom virus slowed down searches on Google as the program flooded the search site with queries looking for new e-mail addresses to send itself to.
"
"Apple unveils low-cost 'Mac mini'
","
Apple has unveiled a new, low-cost Macintosh computer for the masses, billed as the Mac mini.

Chief executive Steve Jobs showed off the new machine at his annual MacWorld speech, in San Francisco. The $499 Macintosh, sold for £339 in the UK, was described by Jobs as the ""most important Mac"" made by Apple. Mr Jobs also unveiled the iPod shuffle, a new music player using cheaper flash memory rather than hard drives, which are used in more expensive iPods.

The new computer shifts the company into new territory - traditionally, the firm is known as a design and innovation-led firm rather than as a mass-market manufacturer. The Mac mini comes without a monitor, keyboard and mouse, and a second version with a larger hard drive will also be sold for $599.

The machine - which will be available from 22 January - was described by Jobs as ""BYODKM... bring your own display, keyboard, and mouse"". In an attempt to win over Windows PC customers, Mr Jobs said it would appeal to people thinking of changing operating systems. ""People who are thinking of switching will have no more excuses,"" he said. ""It's the newest and most affordable Mac ever."" The new computer has been the subject of speculation for several weeks and while few people will be surprised by the announcement many analysts had already said it was a sensible move. In January, Apple sued a website after it published what it said were specifications for the new computer. Ian Harris, deputy editor of UK magazine Mac Format, said the machine would appeal to PC-owning consumers who had purchased an iPod.

""They want a further taste of Mac because they like what they have seen with iPod."" Harris added: ""Everybody thought that Apple was happy to remain a niche maker of luxury computers, and moving into a market dominated by low margin manufacturers like Dell is a bold move. ""But it shows that Apple is keen to capitalise on the mass market success it's had with the iPod. The Mac mini will appeal to PC users looking for an attractive, 'no fuss' computer."" The new iPod shuffle comes in two versions - one offering 512mb of storage for $99 (£69 in the Uk) and a second with one gigabyte of storage for $149 (£99) - and went on sale Tuesday. The music player has no display and will play songs either consecutively or shuffled. The smaller iPod will hold about 120 songs, said Mr Jobs. Mr Jobs told the delegates at MacWorld that iPod already had a 65% market share of all digital music players.
"
"Half of UK's mobiles 'go online'
","
Multimedia mobile phones are finally showing signs of taking off, with more Britons using them to go online.

Figures from industry monitor, the Mobile Data Association (MDA), show the number of phones with GPRS and MMS technology has doubled since last year. GPRS lets people browse the web, access news services, mobile music and other applications like mobile chat. By the end of 2005, the MDA predicts that 75% of all mobiles in the UK will be able to access the net via GPRS. The MDA say the figures for the three months up to 30 September are a ""rapid increase"" on the figure for the same time the previous year. About 53 million people own a mobile in the UK, so the figures mean that half of those phones use GPRS. GPRS is often described as 2.5G technology - 2.5 generation - sitting between 2G and 3G technology, which is like a fast, high-quality broadband internet for phones.

With more services being offered by mobile operators, people are finding more reasons to go online via their mobile. Downloadable ringtones are still proving highly popular, but so is mobile chat. BandAid was the fastest ever-selling ringtone this year, according to the MDA, and chat was given some publicity when Prime Minister Tony Blair answered questions through mobile text chat. Multimedia messaging services also looked brighter with 32% of all mobiles in the UK able to send or receive picture messages. This is a 14% rise from last September's figures. But a recent report from Continental Research reflects the continuing battle mobile companies have to actually persuade people to go online and to use MMS. It said that 36% of UK camera phone users had never sent a multimedia message, or MMS. That was 7% more than in 2003. Mobile companies are keen for people to use multimedia functions their phones, like sending MMS and going online, as this generates more money for them. But critics say that MMS is confusing and some mobiles are too difficult to use. There have also been some issues over interoperability, and being able to send MMS form a mobile using one network to a different one.
"
"Yahoo moves into desktop search
","
Internet giant Yahoo has launched software to allow people to search e-mail and other files on their PCs.

The firm is following in the footsteps of Microsoft, Google and Ask Jeeves, which have offered similar services. Search has become a lucrative and hotly-contested area of expansion for net firms, looking to extend loyalty beyond the web. With hard drives providing bigger storage, users could need more help to locate important files, such as photos.

The desktop search technology has been licensed from a US-based firm X1 Technologies. It is designed to work alongside Microsoft's Outlook and Outlook Express e-mail programs. Searching e-mail effectively is becoming increasingly important, especially as the amount of spam increases. According to research from message analysts the Radicati Group, up to 45% of businesses' critical information is stored in e-mail and attachments. Yahoo's software can also work separately on the desktop, searching for music, photos and other files. Users can search under a variety of criteria, including file name, size, date and time. It doesn't yet incorporate web searching, although Yahoo has promised that future versions will allow users to search both web-based and desktop data. ""We are all getting more and more files on our desktop but the real commercial opportunity lies with linking this through to web content,"" said Julian Smith, an analyst with research firm Jupiter. ""It is all about extending the idea of search and getting a closer relationship with consumers by organising not just how they search on the internet but the files on your computer as well,"" he said. Search engines are often the first port of call for users when they go onto the web. The new foray into desktop search has rung alarm bells for human rights groups, concerned about the implications to privacy. And not everyone is impressed with the functionality of such services. Alexander Linden, vice president of emerging technologies at analyst firm Gartner,downloaded the Google product but has since removed it. ""It was just not very interesting,"" he said. He believes the rush to enter the desktop business is just a way of keeping up with rivals. ""Desktop search is just one of many features people would like but I'm suspicious of its usefulness,"" he said. More useful would be tools that can combine internet, intranet and desktop search alongside improvements to key word searching, he said.
"
"TV presenter Deeley drops CD:UK
","
Cat Deeley has resigned as host of ITV1's Saturday morning children's music show CD:UK after six years.

The 28-year-old host who also presents Stars In Their Eyes said she wanted to concentrate on new television projects. ""I've had a great few years, met some really incredible people and been given some wonderful opportunities,"" the presenter said. Deeley will host her last show on 5 March and guest presenters will stand in until a replacement is found.

The long-running presenter said: ""I would like to take this opportunity to thank the CD:UK team and all the viewers that have watched, supported the show and let me gate crash their Saturday morning. ""Whilst obviously I am really sad to say goodbye, I'm immensely excited about the future."" Deeley formerly co-hosted SM:tv, the children's show which airs before CD:UK on a Saturday morning, alongside hit presenters Ant and Dec. She won a Children's Bafta award for best presenter in December 2001 and also fronted BBC One's Fame Academy series.
"
